date,series_id,value,unit,frequency,release_version
2009-03-27,obm_tx_count_daily,106,transactions,daily,OBM v0.1.0
2009-03-28,obm_tx_count_daily,122,transactions,daily,OBM v0.1.0
2009-03-29,obm_tx_count_daily,116,transactions,daily,OBM v0.1.0
2009-03-30,obm_tx_count_daily,120,transactions,daily,OBM v0.1.0
2009-03-31,obm_tx_count_daily,111,transactions,daily,OBM v0.1.0
2009-04-01,obm_tx_count_daily,114,transactions,daily,OBM v0.1.0
2009-04-02,obm_tx_count_daily,115,transactions,daily,OBM v0.1.0
2009-04-03,obm_tx_count_daily,116,transactions,daily,OBM v0.1.0
2009-04-04,obm_tx_count_daily,113,transactions,daily,OBM v0.1.0
2009-04-05,obm_tx_count_daily,132,transactions,daily,OBM v0.1.0
2009-04-06,obm_tx_count_daily,109,transactions,daily,OBM v0.1.0
2009-04-07,obm_tx_count_daily,100,transactions,daily,OBM v0.1.0
2009-04-08,obm_tx_count_daily,105,transactions,daily,OBM v0.1.0
2009-04-09,obm_tx_count_daily,99,transactions,daily,OBM v0.1.0
2009-04-10,obm_tx_count_daily,108,transactions,daily,OBM v0.1.0
2009-04-11,obm_tx_count_daily,121,transactions,daily,OBM v0.1.0
2009-04-12,obm_tx_count_daily,120,transactions,daily,OBM v0.1.0
2009-04-13,obm_tx_count_daily,116,transactions,daily,OBM v0.1.0
2009-04-14,obm_tx_count_daily,124,transactions,daily,OBM v0.1.0
2009-04-15,obm_tx_count_daily,113,transactions,daily,OBM v0.1.0
2009-04-16,obm_tx_count_daily,123,transactions,daily,OBM v0.1.0
2009-04-17,obm_tx_count_daily,112,transactions,daily,OBM v0.1.0
2009-04-18,obm_tx_count_daily,130,transactions,daily,OBM v0.1.0
2009-04-19,obm_tx_count_daily,120,transactions,daily,OBM v0.1.0
2009-04-20,obm_tx_count_daily,121,transactions,daily,OBM v0.1.0
2009-04-21,obm_tx_count_daily,124,transactions,daily,OBM v0.1.0
2009-04-22,obm_tx_count_daily,121,transactions,daily,OBM v0.1.0
2009-04-23,obm_tx_count_daily,75,transactions,daily,OBM v0.1.0
2009-04-24,obm_tx_count_daily,115,transactions,daily,OBM v0.1.0
2009-04-25,obm_tx_count_daily,118,transactions,daily,OBM v0.1.0
2009-04-26,obm_tx_count_daily,114,transactions,daily,OBM v0.1.0
2009-04-27,obm_tx_count_daily,104,transactions,daily,OBM v0.1.0
2009-04-28,obm_tx_count_daily,117,transactions,daily,OBM v0.1.0
2009-04-29,obm_tx_count_daily,129,transactions,daily,OBM v0.1.0
2009-04-30,obm_tx_count_daily,131,transactions,daily,OBM v0.1.0
2009-05-01,obm_tx_count_daily,121,transactions,daily,OBM v0.1.0
