date,series_id,value,unit,frequency,release_version
2009-03-23,obm_block_weight_wu_daily,112280,WU,daily,OBM v0.1.0
2009-03-24,obm_block_weight_wu_daily,90712,WU,daily,OBM v0.1.0
2009-03-25,obm_block_weight_wu_daily,100988,WU,daily,OBM v0.1.0
2009-03-26,obm_block_weight_wu_daily,114008,WU,daily,OBM v0.1.0
2009-03-27,obm_block_weight_wu_daily,91564,WU,daily,OBM v0.1.0
2009-03-28,obm_block_weight_wu_daily,112448,WU,daily,OBM v0.1.0
2009-03-29,obm_block_weight_wu_daily,100208,WU,daily,OBM v0.1.0
2009-03-30,obm_block_weight_wu_daily,103608,WU,daily,OBM v0.1.0
2009-03-31,obm_block_weight_wu_daily,109788,WU,daily,OBM v0.1.0
2009-04-01,obm_block_weight_wu_daily,98432,WU,daily,OBM v0.1.0
2009-04-02,obm_block_weight_wu_daily,99308,WU,daily,OBM v0.1.0
2009-04-03,obm_block_weight_wu_daily,100200,WU,daily,OBM v0.1.0
2009-04-04,obm_block_weight_wu_daily,97516,WU,daily,OBM v0.1.0
2009-04-05,obm_block_weight_wu_daily,120408,WU,daily,OBM v0.1.0
2009-04-06,obm_block_weight_wu_daily,94168,WU,daily,OBM v0.1.0
2009-04-07,obm_block_weight_wu_daily,86396,WU,daily,OBM v0.1.0
2009-04-08,obm_block_weight_wu_daily,90720,WU,daily,OBM v0.1.0
2009-04-09,obm_block_weight_wu_daily,85432,WU,daily,OBM v0.1.0
2009-04-10,obm_block_weight_wu_daily,93288,WU,daily,OBM v0.1.0
2009-04-11,obm_block_weight_wu_daily,107200,WU,daily,OBM v0.1.0
2009-04-12,obm_block_weight_wu_daily,106064,WU,daily,OBM v0.1.0
2009-04-13,obm_block_weight_wu_daily,100264,WU,daily,OBM v0.1.0
2009-04-14,obm_block_weight_wu_daily,107112,WU,daily,OBM v0.1.0
2009-04-15,obm_block_weight_wu_daily,97516,WU,daily,OBM v0.1.0
2009-04-16,obm_block_weight_wu_daily,106220,WU,daily,OBM v0.1.0
2009-04-17,obm_block_weight_wu_daily,96704,WU,daily,OBM v0.1.0
2009-04-18,obm_block_weight_wu_daily,111908,WU,daily,OBM v0.1.0
2009-04-19,obm_block_weight_wu_daily,106624,WU,daily,OBM v0.1.0
2009-04-20,obm_block_weight_wu_daily,155668,WU,daily,OBM v0.1.0
2009-04-21,obm_block_weight_wu_daily,107128,WU,daily,OBM v0.1.0
2009-04-22,obm_block_weight_wu_daily,104528,WU,daily,OBM v0.1.0
2009-04-23,obm_block_weight_wu_daily,64704,WU,daily,OBM v0.1.0
2009-04-24,obm_block_weight_wu_daily,99316,WU,daily,OBM v0.1.0
2009-04-25,obm_block_weight_wu_daily,101888,WU,daily,OBM v0.1.0
2009-04-26,obm_block_weight_wu_daily,103960,WU,daily,OBM v0.1.0
2009-04-27,obm_block_weight_wu_daily,89812,WU,daily,OBM v0.1.0
2009-04-28,obm_block_weight_wu_daily,100916,WU,daily,OBM v0.1.0
2009-04-29,obm_block_weight_wu_daily,119856,WU,daily,OBM v0.1.0
2009-04-30,obm_block_weight_wu_daily,113160,WU,daily,OBM v0.1.0
2009-05-01,obm_block_weight_wu_daily,104484,WU,daily,OBM v0.1.0
2009-05-02,obm_block_weight_wu_daily,116612,WU,daily,OBM v0.1.0
2009-05-03,obm_block_weight_wu_daily,94860,WU,daily,OBM v0.1.0
2009-05-04,obm_block_weight_wu_daily,124380,WU,daily,OBM v0.1.0
2009-05-05,obm_block_weight_wu_daily,121320,WU,daily,OBM v0.1.0
2009-05-06,obm_block_weight_wu_daily,116628,WU,daily,OBM v0.1.0
2009-05-07,obm_block_weight_wu_daily,105408,WU,daily,OBM v0.1.0
2009-05-08,obm_block_weight_wu_daily,92424,WU,daily,OBM v0.1.0
2009-05-09,obm_block_weight_wu_daily,67232,WU,daily,OBM v0.1.0
2009-05-10,obm_block_weight_wu_daily,73356,WU,daily,OBM v0.1.0
2009-05-11,obm_block_weight_wu_daily,105052,WU,daily,OBM v0.1.0
2009-05-12,obm_block_weight_wu_daily,112280,WU,daily,OBM v0.1.0
2009-05-13,obm_block_weight_wu_daily,100244,WU,daily,OBM v0.1.0
2009-05-14,obm_block_weight_wu_daily,122924,WU,daily,OBM v0.1.0
2009-05-15,obm_block_weight_wu_daily,122184,WU,daily,OBM v0.1.0
2009-05-16,obm_block_weight_wu_daily,102792,WU,daily,OBM v0.1.0
2009-05-17,obm_block_weight_wu_daily,109708,WU,daily,OBM v0.1.0
2009-05-18,obm_block_weight_wu_daily,101916,WU,daily,OBM v0.1.0
2009-05-19,obm_block_weight_wu_daily,74264,WU,daily,OBM v0.1.0
2009-05-20,obm_block_weight_wu_daily,103552,WU,daily,OBM v0.1.0
2009-05-21,obm_block_weight_wu_daily,70836,WU,daily,OBM v0.1.0
2009-05-22,obm_block_weight_wu_daily,52696,WU,daily,OBM v0.1.0
2009-05-23,obm_block_weight_wu_daily,27640,WU,daily,OBM v0.1.0
2009-05-24,obm_block_weight_wu_daily,86360,WU,daily,OBM v0.1.0
