date,series_id,value,unit,frequency,release_version
2009-03-19,obm_utxo_eod_count_daily,7667,outputs,daily,OBM v0.1.0
2009-03-20,obm_utxo_eod_count_daily,7774,outputs,daily,OBM v0.1.0
2009-03-21,obm_utxo_eod_count_daily,7824,outputs,daily,OBM v0.1.0
2009-03-22,obm_utxo_eod_count_daily,7934,outputs,daily,OBM v0.1.0
2009-03-23,obm_utxo_eod_count_daily,8064,outputs,daily,OBM v0.1.0
2009-03-24,obm_utxo_eod_count_daily,8169,outputs,daily,OBM v0.1.0
2009-03-25,obm_utxo_eod_count_daily,8286,outputs,daily,OBM v0.1.0
2009-03-26,obm_utxo_eod_count_daily,8376,outputs,daily,OBM v0.1.0
2009-03-27,obm_utxo_eod_count_daily,8482,outputs,daily,OBM v0.1.0
2009-03-28,obm_utxo_eod_count_daily,8584,outputs,daily,OBM v0.1.0
2009-03-29,obm_utxo_eod_count_daily,8700,outputs,daily,OBM v0.1.0
2009-03-30,obm_utxo_eod_count_daily,8820,outputs,daily,OBM v0.1.0
2009-03-31,obm_utxo_eod_count_daily,8899,outputs,daily,OBM v0.1.0
2009-04-01,obm_utxo_eod_count_daily,9013,outputs,daily,OBM v0.1.0
2009-04-02,obm_utxo_eod_count_daily,9128,outputs,daily,OBM v0.1.0
2009-04-03,obm_utxo_eod_count_daily,9244,outputs,daily,OBM v0.1.0
2009-04-04,obm_utxo_eod_count_daily,9357,outputs,daily,OBM v0.1.0
2009-04-05,obm_utxo_eod_count_daily,9472,outputs,daily,OBM v0.1.0
2009-04-06,obm_utxo_eod_count_daily,9581,outputs,daily,OBM v0.1.0
2009-04-07,obm_utxo_eod_count_daily,9681,outputs,daily,OBM v0.1.0
2009-04-08,obm_utxo_eod_count_daily,9786,outputs,daily,OBM v0.1.0
2009-04-09,obm_utxo_eod_count_daily,9885,outputs,daily,OBM v0.1.0
2009-04-10,obm_utxo_eod_count_daily,9993,outputs,daily,OBM v0.1.0
2009-04-11,obm_utxo_eod_count_daily,10107,outputs,daily,OBM v0.1.0
2009-04-12,obm_utxo_eod_count_daily,10219,outputs,daily,OBM v0.1.0
2009-04-13,obm_utxo_eod_count_daily,10335,outputs,daily,OBM v0.1.0
2009-04-14,obm_utxo_eod_count_daily,10459,outputs,daily,OBM v0.1.0
2009-04-15,obm_utxo_eod_count_daily,10572,outputs,daily,OBM v0.1.0
2009-04-16,obm_utxo_eod_count_daily,10695,outputs,daily,OBM v0.1.0
2009-04-17,obm_utxo_eod_count_daily,10807,outputs,daily,OBM v0.1.0
2009-04-18,obm_utxo_eod_count_daily,10934,outputs,daily,OBM v0.1.0
2009-04-19,obm_utxo_eod_count_daily,11046,outputs,daily,OBM v0.1.0
2009-04-20,obm_utxo_eod_count_daily,11052,outputs,daily,OBM v0.1.0
2009-04-21,obm_utxo_eod_count_daily,11176,outputs,daily,OBM v0.1.0
2009-04-22,obm_utxo_eod_count_daily,11297,outputs,daily,OBM v0.1.0
2009-04-23,obm_utxo_eod_count_daily,11372,outputs,daily,OBM v0.1.0
2009-04-24,obm_utxo_eod_count_daily,11487,outputs,daily,OBM v0.1.0
2009-04-25,obm_utxo_eod_count_daily,11605,outputs,daily,OBM v0.1.0
2009-04-26,obm_utxo_eod_count_daily,11704,outputs,daily,OBM v0.1.0
2009-04-27,obm_utxo_eod_count_daily,11808,outputs,daily,OBM v0.1.0
2009-04-28,obm_utxo_eod_count_daily,11925,outputs,daily,OBM v0.1.0
2009-04-29,obm_utxo_eod_count_daily,12034,outputs,daily,OBM v0.1.0
2009-04-30,obm_utxo_eod_count_daily,12165,outputs,daily,OBM v0.1.0
2009-05-01,obm_utxo_eod_count_daily,12286,outputs,daily,OBM v0.1.0
2009-05-02,obm_utxo_eod_count_daily,12401,outputs,daily,OBM v0.1.0
2009-05-03,obm_utxo_eod_count_daily,12508,outputs,daily,OBM v0.1.0
2009-05-04,obm_utxo_eod_count_daily,12607,outputs,daily,OBM v0.1.0
2009-05-05,obm_utxo_eod_count_daily,12733,outputs,daily,OBM v0.1.0
2009-05-06,obm_utxo_eod_count_daily,12868,outputs,daily,OBM v0.1.0
2009-05-07,obm_utxo_eod_count_daily,12990,outputs,daily,OBM v0.1.0
2009-05-08,obm_utxo_eod_count_daily,13097,outputs,daily,OBM v0.1.0
2009-05-09,obm_utxo_eod_count_daily,13175,outputs,daily,OBM v0.1.0
